name,price,Brand,link,
"RM978  Lumia 630  DualSim  4.5\  8 GB  512 MB RAM  1.2 GHz Quadcore  5 MP Camera  Yellow (Brand Warranty)""",†14375,Microsoft†,https://www.daraz.pk/rm-978-lumia-630-dual-sim-4.5-8-gb-hdd-512-mb-ram-5-mp-camera-yellow-brand-warranty-microsoft-mpg1074.html,
"RM978  Lumia 630  DualSim  4.5\  8 GB  512 MB RAM  1.2 GHz Quadcore  5 MP Camera  Black (Brand Warranty)""",†13950,Microsoft†,https://www.daraz.pk/rm-978-lumia-630-dual-sim-4.5-8-gb-hdd-512-mb-ram-5-mp-camera-black-brand-warranty-microsoft-mpg165.html,
"RM978  Lumia 630  DualSim  4.5\  8 GB  512 MB RAM  1.2 GHz Quadcore  5 MP Camera  White (Brand Warranty)""",†13950,Microsoft†,https://www.daraz.pk/rm-978-lumia-630-dual-sim-4.5-8-gb-hdd-512-mb-ram-5-mp-camera-white-brand-warranty-microsoft-mpg81.html,
RX75  Rhythm  4.5''  8 GB  1 GB RAM  1.3 GHz  8 MP Camera  White (Brand Warranty),†8399,RIVO†,https://www.daraz.pk/rivo-rx-75-rhythm-4.5-8-gb-1-gb-ram-1.3-ghz-8-mp-camera-white-brand-warranty-5422880.html,
"RM1069  Lumia 435  4\   8 GB  1 GB RAM  1.2 GHz Dualcore  2 MP Camera  White (Brand Warranty)""",†7950,Microsoft†,https://www.daraz.pk/rm-1069-lumia-435-4-8-gb-1-gb-ram-1.2-ghz-dual-core-2-mp-camera-white-brand-warranty-microsoft-mpg4584.html,
"President  G10  Octa Core  5\  16 GB HDD  1 GB RAM  8 MP Camera  Space Grey (Brand Warranty)""",†9999,Gfive†,https://www.daraz.pk/president-g10-octa-core-5-16-gb-hdd-1-gb-ram-8-mp-camera-space-grey-brand-warranty-gfive-mpg1004.html,
Gfive President Shark 2 White(Brand Warranty),†2999,Gfive†,https://www.daraz.pk/gfive-gfive-president-shark-2-whitebrand-warranty-3844038.html,
RM1141  Lumia 540  Dual Sim  5''  8 GB  1 GB RAM  1.2 GHz Quadcore  8 MP Camera  White (Brand Warranty),†16570,Microsoft†,https://www.daraz.pk/rm-1141-lumia-540-dual-sim-5-8-gb-1-gb-ram-1.2-ghz-quad-core-8-mp-camera-white-brand-warranty-microsoft-mpg33495.html,
"P8 LITE  5\  4G  16GB  2GB RAM  1.2 GHz Octacore  13 MP Camera  Gold (Brand Warranty)""",†21569,Huawei†,https://www.daraz.pk/p8-lite-5-4g-16gb-2gb-ram-1.2-ghz-octa-core-13-mp-camera-gold-brand-warranty-huawei-mpg11778.html,
"G5  Genius Tab  6.5\  8 GB  1 GB RAM  5MP Camera  WiFi  White (Brand Warranty) With Free (4 in 1) Accessories Bundle""",†8422,DANY†,https://www.daraz.pk/dany-g5-genius-tab-6.5-8-gb-1-gb-ram-5mp-camera-wifi-white-brand-warranty-with-free-4-in-1-accessories-bundle-5409739.html,
